ADDRESS,SUBURB,PRICE,BEDROOMS,BATHROOMS,GARAGE,LAND_AREA,FLOOR_AREA,BUILD_YEAR,CBD_DIST,NEAREST_STN,NEAREST_STN_DIST,DATE_SOLD,POSTCODE,LATITUDE,LONGITUDE,NEAREST_SCH,NEAREST_SCH_DIST,NEAREST_SCH_RANK
1 Bowood Cove,Kiara,615000,4,2,2,818,247,1994,10900,Bassendean Station,2600,"03-2016",6054,-31.88124,115.93878,KIARA COLLEGE,0.5464288811907199,
1 Bradbury Road,Hamilton Hill,565000,3,2,2,775,151,1960,15500,Fremantle Station,4800,"05-2020",6163,-32.07693,115.78611,SETON CATHOLIC COLLEGE,0.8307663583413691,91
1 Bradford Street,Menora,850000,3,1,1,917,120,1959,3500,Mount Lawley Station,2100,"10-2013",6050,-31.92056,115.86557,MOUNT LAWLEY SENIOR HIGH SCHOOL,0.40139058887103846,20
1 Bradstocks Grove,Southern River,780000,4,2,2,447,305,2015,18600,Thornlie Station,5800,"09-2018",6110,-32.0993486,115.9525676,PROVIDENCE CHRISTIAN COLLEGE,1.4963495341522999,38
1 Bramley Way,Bibra Lake,520000,3,3,2,358,154,2001,17100,Cockburn Central Station,3900,"03-2018",6163,-32.10379,115.82631,PERTH WALDORF SCHOOL,1.526177504053366,
1 Brassey Street,Swanbourne,1100000,3,1,1,619,150,1945,8800,Swanbourne Station,658,"12-2016",6010,-31.97685,115.76985,SCOTCH COLLEGE,0.5714538835012237,24
1 Brentwood Way,The Vines,590000,5,2,2,834,246,2004,26400,Midland Station,15600,"03-2020",6069,-31.75123,116.00693,HOLY CROSS COLLEGE,3.964054248621698,98
1 Brilliant Rise,Stratton,312000,4,2,3,561,101,1993,19400,Midland Station,4400,"08-2018",6056,-31.86829,116.03838,SWAN VIEW SENIOR HIGH SCHOOL,2.207307702135043,
1 Briston Place,North Beach,900000,3,2,3,372,213,2008,13400,Warwick Station,3400,"08-2016",6020,-31.86096794,115.7663678,CARINE SENIOR HIGH SCHOOL,1.2602271540900296,47
1 Bristow Street,Haynes,177000,3,1,NULL,412,150,2015,26200,Armadale Station,2400,"08-2013",6112,-32.15937438,115.9880817,DALE CHRISTIAN SCHOOL,1.0032399435564363,
1 Brittain Avenue,Madeley,580000,4,2,2,541,188,2004,16000,Greenwood Station,3900,"07-2017",6065,-31.81185,115.8241,KINGSWAY CHRISTIAN COLLEGE,1.257943569133381,50
1 Brix Street,Wembley Downs,1310000,4,2,2,544,246,2010,8700,Glendalough Station,4400,"07-2019",6019,-31.91782603,115.7766387,HALE SCHOOL,0.9108820775888915,6
1 Brixton Road,Bentley,470000,3,2,2,295,110,1950,8000,Welshpool Station,1300,"02-2018",6102,-32.00510024,115.9157517,CANNING COLLEGE,1.8221119153340875,
1 Bruning Road,Manning,717000,3,2,2,578,176,1995,6400,Canning Bridge Station,1400,"02-2018",6152,-32.00891,115.87138,COMO SECONDARY COLLEGE,0.5838539860074374,87
1 Buckie Court,Warwick,650000,4,2,1,715,170,NULL,13900,Warwick Station,627,"08-2014",6024,-31.83908,115.79647,GREENWOOD COLLEGE,1.500365837809437,86
1 Bull Place,Queens Park,387000,4,1,4,380,114,1998,9500,Queens Park Station,594,"09-2018",6107,-32.00205721,115.941062,ST NORBERT COLLEGE,0.2653986305726844,42
1 Bynder Lane,Medina,330000,3,2,2,233,111,2014,31900,Kwinana Station,3300,"07-2015",6167,-32.23409592,115.8058854,GILMORE COLLEGE,0.9586860908608232,138
1 Cabarita Road,Kalamunda,605000,2,1,NULL,2578,180,1977,18200,Madding,9200,"08-2020",6076,-31.98705,116.04769,ST BRIGID'S COLLEGE,1.1428021247311357,99
1 Cadiz Way,Bullsbrook,380000,3,2,2,350,156,2016,35200,Midland Station,24600,"06-2016",6084,-31.65843642,116.0411802,HOLY CROSS COLLEGE,14.257082473865493,98
1 Caladenia Way,Koongamia,85000,2,1,2,828,117,1965,17800,Midland Station,4300,"10-1998",6056,-31.90963,116.04061,SWAN VIEW SENIOR HIGH SCHOOL,2.488743831488223,
1 Cam Court,Merriwa,345000,3,2,2,603,128,1992,34500,Butler Station,3800,"06-2017",6030,-31.66719,115.71465,ALKIMOS BAPTIST COLLEGE,0.8727779765182248,
1 Camden Boulevard,Aubin Grove,528000,4,2,2,619,180,2008,24100,Cockburn Central Station,4900,"03-2018",6164,-32.16854691,115.86785,ATWELL COLLEGE,2.757298788389314,129
1 Cameron Street,Karrinyup,1350000,4,1,5,802,266,2012,12000,Warwick Station,3500,"03-2018",6018,-31.87098262,115.7759589,ST MARY'S ANGLICAN GIRLS' SCHOOL,1.1339156167704767,7
1 Camira Place,Gooseberry Hill,735000,4,2,2,1940,223,1982,18700,Midland Station,8500,"07-2015",6076,-31.95124,116.05696,KALAMUNDA SENIOR HIGH SCHOOL,2.9641504305521567,107
1 Camrose Lane,Darch,442500,4,2,2,529,176,2005,15400,Greenwood Station,6400,"11-2019",6065,-31.81372,115.85078,ASHDALE SECONDARY COLLEGE,0.9080791199887811,75
1 Canarias Way,Hillarys,1015000,3,2,2,500,312,2003,18600,Greenwood Station,3900,"08-2018",6025,-31.81745,115.74223,SACRED HEART COLLEGE,1.1773460302620864,19
1 Cannon Court,Alexander Heights,530000,3,2,4,771,200,1985,13500,Warwick Station,7500,"05-2016",6064,-31.83138,115.87381,MERCY COLLEGE,2.3400575782722095,46
1 Canny Road,St James,515000,3,1,2,688,90,1958,6800,Welshpool Station,1700,"06-2019",6102,-31.99883,115.90544,CANNING COLLEGE,1.4162531479760074,
1 Carnegie Road,Bassendean,1100000,4,2,4,1012,251,2005,10500,Success Hill Station,843,"11-2018",6054,-31.90763,115.9573,CYRIL JACKSON SENIOR CAMPUS,1.5188824776156191,
1 Carroll Street,Ardross,1265000,4,3,2,590,261,2005,8500,Canning Bridge Station,3000,"02-2018",6153,-32.02499618,115.8306028,APPLECROSS SENIOR HIGH SCHOOL,0.645276942986222,34
1 Cartland Court,Bedfordale,750000,4,3,2,4225,236,2003,28600,Armadale Station,4100,"08-2019",6112,-32.14722691,116.0560529,SOUTHERN HILLS CHRISTIAN COLLEGE,3.89817720262778,
1 Caterpillar Road,Success,472500,4,2,4,446,147,2008,22700,Cockburn Central Station,3600,"07-2018",6164,-32.15555254,115.8466171,ATWELL COLLEGE,2.094911833401787,129
1 Caxton Lane,Ballajura,392500,4,2,NULL,532,185,NULL,12300,Bayswater Station,7800,"01-2019",6066,-31.84873764,115.9045034,BALLAJURA COMMUNITY COLLEGE,1.136160904867254,133
1 Centaur Circle,Woodbridge,900000,4,2,2,454,263,NULL,14700,Midland Station,343,"12-2008",6056,-31.8934,115.998,YOUTH FUTURES COMMUNITY SCHOOL,0.8310189988790908,
1 Cessford Close,Leda,380000,5,2,2,642,153,1994,35000,Wellard Station,1200,"04-2015",6170,-32.26303,115.80407,PETER CARNLEY ANGLICAN COMMUNITY SCHOOL,1.2145051752706348,
1 Challenger Avenue,Manning,590000,3,2,2,449,179,2001,6800,Canning Bridge Station,1600,"04-2019",6152,-32.01232,115.87353,COMO SECONDARY COLLEGE,0.9884782102504912,87
1 Chamberlain Circle,Bateman,835000,4,2,2,727,179,1985,11300,Bull Creek Station,785,"11-2018",6150,-32.05318,115.85013,CORPUS CHRISTI COLLEGE,0.8025022598534814,28
1 Charleston Road,Eglinton,495000,4,2,2,432,155,2015,43700,Butler Station,5400,"02-2016",6034,-31.59475775,115.6689691,YANCHEP SECONDARY COLLEGE,5.2845798075075985,
1 Chauvel Court,Kiara,390000,4,2,3,543,111,1994,11000,Bassendean Station,2100,"06-2012",6054,-31.88496,115.94411,KIARA COLLEGE,1.192517672021573,
1 Chester Court,Orelia,280000,3,1,2,806,119,1970,31900,Kwinana Station,1500,"03-2017",6167,-32.23786,115.82736,GILMORE COLLEGE,1.1822571093570655,138
1 Chiddington Street,Beckenham,355000,3,1,2,953,140,1974,13300,Kenwick Station,852,"02-2017",6107,-32.02907099,115.9661741,COMMUNICARE ACADEMY,0.944525280478782,
1 Chipala Court,Edgewater,465000,4,2,4,697,160,1987,20800,Edgewater Station,1200,"01-2016",6027,-31.77422523,115.7911066,MATER DEI COLLEGE,1.7420523808690005,104
1 Citrus Loop,South Lake,372000,3,2,2,402,135,NULL,17200,Cockburn Central Station,3500,"01-2020",6164,-32.10493,115.83043,LAKELAND SENIOR HIGH SCHOOL,1.5292995824649906,
1 Claret Ash Court,Helena Valley,685000,4,2,2,1012,180,1994,16600,Midland Station,3600,"04-2015",6056,-31.91358,116.02843,YOUTH FUTURES COMMUNITY SCHOOL,3.135863661389195,
1 Clarke Street,East Cannington,360000,3,2,2,218,130,2006,10900,Canning,442,"03-2016",6107,-32.01255367,115.9493774,SEVENOAKS SENIOR COLLEGE,0.6670685196759771,114
1 Clearwater Way,Singleton,320000,4,2,2,550,185,2006,54600,Mandurah Station,10300,"06-2020",6175,-32.43563932,115.7585468,COMET BAY COLLEGE,2.2454085252134144,35
1 Clifford Loop,Darch,492000,3,2,2,289,122,2008,15100,Greenwood Station,6100,"04-2016",6065,-31.81702,115.84811,ASHDALE SECONDARY COLLEGE,0.866779697791059,75
1 Cliverton Court,Marmion,974000,5,2,2,766,290,1990,15200,Warwick Station,3600,"02-2013",6020,-31.84584,115.75809,CARINE SENIOR HIGH SCHOOL,1.857116986460901,47
1 Clovertree Street,Maddington,435000,4,2,5,1062,177,1988,17800,Gosnells Station,2000,"09-2017",6109,-32.0541,116.0043,LUMEN CHRISTI COLLEGE,1.6458743464550833,122
1 Cobea Court,Mount Claremont,900000,3,2,2,367,160,1995,6900,Loch Street Station,640,"06-2017",6010,-31.9669,115.78778,JOHN XXIII COLLEGE,0.8258967333064485,8
1 Cockman Road,Greenwood,405000,3,1,3,698,110,1975,13900,Warwick Station,2100,"08-2018",6024,-31.8335,115.81362,WARWICK SENIOR HIGH SCHOOL,0.6005024273524234,
1 Cohen Place,Beechboro,290000,3,1,1,782,111,1978,12400,Success Hill Station,2800,"12-2018",6063,-31.87535346,115.9536986,KIARA COLLEGE,1.7721533441463786,
1 Collier Street,Wembley,1160000,2,2,1,635,201,1950,4600,Glendalough Station,1800,"12-2019",6014,-31.92994,115.81815,BOLD PARK COMMUNITY SCHOOL,0.8283557812219488,
1 Colmworth Way,Butler,415000,3,2,2,555,159,2004,36700,Butler Station,1700,"11-2019",6036,-31.64758777,115.710316,BUTLER COLLEGE,0.4784643150888098,39
1 Colonial Mews,Edgewater,525000,4,2,1,758,125,1984,22100,Edgewater Station,670,"10-2017",6027,-31.76607,115.77891,MATER DEI COLLEGE,0.27513521568820654,104
1 Conical Way,Harrisdale,629000,4,2,3,578,229,2012,19500,Cockburn Central Station,6800,"09-2017",6112,-32.11590661,115.9300609,CAREY BAPTIST COLLEGE,0.7050115331321091,62
1 Convallis Vista,The Vines,600000,4,2,2,510,217,2007,25200,Midland Station,14300,"11-2020",6069,-31.76277307,116.0041591,HOLY CROSS COLLEGE,3.0892747156295557,98
1 Corbin Gate,Madeley,427000,3,2,2,618,134,2005,16300,Greenwood Station,4200,"03-2020",6065,-31.808107,115.82654,KINGSWAY CHRISTIAN COLLEGE,1.0966909467611414,50
1 Coronado Ridge,Iluka,1015000,5,3,2,911,309,1995,26100,Joondalup Station,3200,"02-2017",6028,-31.74341,115.73399,PRENDIVILLE CATHOLIC COLLEGE,1.364734634329765,60
1 Corvette Close,Waikiki,445000,4,2,2,747,210,1991,42500,Warnbro Station,1900,"11-2019",6169,-32.32226,115.748,SOUTH COAST BAPTIST COLLEGE,1.1778358413079064,
1 Craigie Place,Mundaring,610000,4,2,3,1869,167,1985,29100,Midland Station,15300,"12-2018",6073,-31.90413,116.16174,MUNDARING CHRISTIAN COLLEGE,1.8512313396055862,
1 Crest Grove,Ballajura,465000,4,2,2,803,173,1988,13300,Maylands Station,10300,"08-2019",6066,-31.83561,115.88917,BALLAJURA COMMUNITY COLLEGE,1.0932488379604839,133
1 Creswick Cross,Kiara,454000,4,2,2,545,160,1993,10800,Bassendean Station,2600,"09-2009",6054,-31.88155,115.93723,KIARA COLLEGE,0.4985020167053297,
1 Criollo Place,Stratton,380000,3,2,1,514,131,2000,20200,Midland Station,5200,"10-2014",6056,-31.8666182,116.0474837,SWAN VIEW SENIOR HIGH SCHOOL,2.3394162247710946,
1 Crivelli Parkway,Ashby,382000,4,2,2,401,186,2005,25100,Joondalup Station,3400,"06-2020",6065,-31.73266376,115.8005439,WANNEROO SECONDARY COLLEGE,3.1255687265192087,131
1 Crowley Vista,Salter Point,1150000,4,2,2,527,209,2001,7400,Canning Bridge Station,1100,"01-2014",6152,-32.01888,115.86017,AQUINAS COLLEGE,0.8250744707544544,23
1 Curruthers Road,Mount Pleasant,2200000,2,1,2,1100,497,1958,9300,Bull Creek Station,1200,"12-2018",6153,-32.035946,115.853523,AQUINAS COLLEGE,1.3354886962256827,23
1 Cypress Mews,Warnbro,375000,4,2,4,580,140,2006,42900,Warnbro Station,1100,"09-2018",6169,-32.3275827,115.7565963,SOUTH COAST BAPTIST COLLEGE,1.3622448756117536,
1 Dagostino Road,Byford,495000,4,2,2,694,246,2010,32600,Armadale Station,7900,"11-2020",6122,-32.22239608,115.9921401,BYFORD SECONDARY COLLEGE,0.9236522735311185,116
1 Dalkey Way,Darch,445000,3,2,2,327,171,2008,15900,Greenwood Station,5800,"09-2016",6065,-31.81004895,115.84418,ASHDALE SECONDARY COLLEGE,0.3082940723333923,75
1 Danzil Street,Willagee,515000,4,2,1,450,150,2002,12600,Fremantle Station,5000,"07-2019",6156,-32.05243282,115.7976803,MELVILLE SENIOR HIGH SCHOOL,1.0008772383254252,61
1 Datchet Turn,Bertram,270000,3,2,2,271,109,2011,32000,Kwinana Station,447,"08-2020",6167,-32.23789039,115.8423672,THE KING'S COLLEGE,1.8622339997843476,
1 David Street,Mullaloo,780000,5,2,2,810,180,1977,22100,Edgewater Station,4000,"04-2018",6027,-31.7818,115.73812,ST MARK'S ANGLICAN COMMUNITY SCHOOL,1.909756021244471,58
1 Davis Court,Woodlands,1280000,4,3,4,701,264,1980,7800,Stirling Station,1500,"08-2017",6018,-31.90617,115.79711,CHURCHLANDS SENIOR HIGH SCHOOL,1.407735110761504,22
1 Daybreak Loop,Wellard,410000,4,2,2,465,206,2015,34600,Wellard Station,3600,"03-2018",6170,-32.26332378,115.8554732,THE KING'S COLLEGE,1.8344178642145368,
1 Dean Place,Lockridge,425000,4,2,1,666,143,1983,11600,Bassendean Station,2900,"01-2014",6054,-31.87775,115.94532,KIARA COLLEGE,0.9659138534719107,
1 Dean Road,Bateman,599900,3,1,NULL,807,126,1968,10600,Bull Creek Station,888,"11-2017",6150,-32.0464,115.84477,CORPUS CHRISTI COLLEGE,1.1916408863162802,28
1 Delphi Court,Rossmoyne,1330000,3,2,2,1133,135,1974,9300,Bull Creek Station,2000,"02-2014",6148,-32.03477,115.87024,AQUINAS COLLEGE,1.246711777080163,23
1 Denton Street,Wembley,732000,3,1,2,328,145,1990,4200,Subiaco Station,786,"03-2019",6014,-31.94173236,115.8166999,PERTH MODERN SCHOOL,1.895645261391815,1
1 Dermer Road,Beaconsfield,530000,3,2,2,1319,133,NULL,15800,Fremantle Station,3100,"12-2017",6162,-32.07189,115.7687,FREMANTLE COLLEGE,0.4478662989059305,128
1 Deverell Way,Bentley,465000,3,2,3,327,136,2012,8100,Welshpool Station,2400,"01-2019",6102,-32.01167461,115.9076728,CANNING COLLEGE,1.0261506367266038,
1 Dilkera Place,Quinns Rocks,380000,3,2,2,646,168,1995,35100,Butler Station,3400,"01-2020",6030,-31.66609,115.70398,ALKIMOS BAPTIST COLLEGE,0.8689656216467839,
1 Dirk Hartog Road,Bull Creek,572000,3,1,2,483,115,NULL,12000,Murdoch Station,971,"08-2017",6149,-32.05966708,115.8569943,CORPUS CHRISTI COLLEGE,1.3609387232194923,28
1 Discovery Circuit,Iluka,1300000,5,3,4,770,350,2002,26600,Currambine Station,3000,"03-2018",6028,-31.74151,115.72522,PRENDIVILLE CATHOLIC COLLEGE,2.004713284863781,60
1 Disney Street,Brentwood,710250,4,2,2,434,139,1990,10100,Bull Creek Station,956,"05-2016",6153,-32.0424445,115.8455803,CORPUS CHRISTI COLLEGE,1.6381013286764965,28
1 Dolomite Road,Carine,835000,5,2,2,755,197,1986,13900,Warwick Station,2600,"02-2018",6020,-31.85258,115.77079,CARINE SENIOR HIGH SCHOOL,0.4801233338355535,47
1 Dolphin Way,Beldon,400000,3,1,NULL,683,86,1978,22300,Edgewater Station,2100,"12-2016",6027,-31.77175,115.7563,BELRIDGE SECONDARY COLLEGE,0.6677235223517203,102
1 Doradeen Close,Hillman,275000,3,1,1,761,94,1988,38300,Rockingham Station,504,"07-2015",6168,-32.28643,115.76432,KOLBE CATHOLIC COLLEGE,1.209319367189724,97
1 Doram Court,Swan View,335000,3,1,NULL,686,133,1985,19700,Midland Station,4700,"02-2017",6056,-31.87503,116.04677,SWAN VIEW SENIOR HIGH SCHOOL,1.4037634181891843,
1 Driftwood Way,Bennett Springs,400000,4,2,2,582,153,2001,13600,Bassendean Station,5200,"01-2017",6063,-31.85716057,115.9486519,KIARA COLLEGE,2.59456066883142,
1 Driver Road,Darch,532000,4,2,2,653,191,2004,15500,Greenwood Station,6200,"08-2016",6065,-31.81305,115.84892,ASHDALE SECONDARY COLLEGE,0.7195305813430949,75
1 Dunbar Road,Claremont,1700000,3,2,4,613,125,NULL,7600,Claremont Station,663,"12-2020",6010,-31.98391,115.78789,CHRIST CHURCH GRAMMAR SCHOOL,1.0430209501072545,3
1 Durant Way,Brentwood,820000,3,2,2,419,162,2006,10400,Bull Creek Station,329,"09-2015",6153,-32.04516488,115.8514316,CORPUS CHRISTI COLLEGE,1.5420481546059275,28
1 Dutton Way,Singleton,385000,3,1,NULL,913,112,1983,56400,Mandurah Station,8500,"01-2016",6175,-32.45159,115.75533,MANDURAH BAPTIST COLLEGE,3.0055114968358936,109
1 Duxford Street,Butler,427000,4,2,4,673,153,2002,36900,Butler Station,1600,"11-2018",6036,-31.64941,115.69968,BUTLER COLLEGE,0.8901644386596161,39
1 East Street,Mount Hawthorn,660000,2,2,2,376,100,1962,4100,Glendalough Station,1300,"07-2019",6016,-31.92477,115.83006,BOLD PARK COMMUNITY SCHOOL,0.6572481039968868,
