Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed
59,04-01-2020 14:00,01-03-2020 10:00,04-01-2020 02:40,Chennai,449,TRAFFIC VIOLATION,75,F,Blunt Object,Traffic Fatality,16,No,
60,05-01-2020 18:00,01-03-2020 11:00,04-01-2020 05:33,Thane,352,SHOPLIFTING,53,F,Other,Other Crime,6,Yes,31-03-2020 18:00
61,03-01-2020 22:00,01-03-2020 12:00,03-01-2020 15:04,Mumbai,196,SHOPLIFTING,16,M,Poison,Other Crime,10,No,
62,05-01-2020 21:00,01-03-2020 13:00,04-01-2020 03:32,Surat,359,DRUG OFFENSE,30,M,Explosives,Other Crime,9,Yes,09-02-2020 21:00
63,03-01-2020 20:00,01-03-2020 14:00,04-01-2020 09:27,Chennai,495,FRAUD,56,M,Explosives,Other Crime,5,Yes,15-03-2020 20:00
64,06-01-2020 06:00,01-03-2020 15:00,03-01-2020 23:24,Thane,259,ILLEGAL POSSESSION,19,F,Blunt Object,Other Crime,16,Yes,20-03-2020 06:00
65,05-01-2020 18:00,01-03-2020 16:00,04-01-2020 00:59,Visakhapatnam,289,DRUG OFFENSE,58,F,Explosives,Other Crime,19,No,
66,06-01-2020 14:00,01-03-2020 17:00,04-01-2020 11:49,Lucknow,409,EXTORTION,45,F,Other,Other Crime,3,Yes,15-03-2020 14:00
67,03-01-2020 21:00,01-03-2020 18:00,04-01-2020 17:48,Bhopal,306,CYBERCRIME,25,M,None,Other Crime,6,No,
68,04-01-2020 20:00,01-03-2020 19:00,04-01-2020 08:46,Visakhapatnam,420,BURGLARY,22,M,Knife,Other Crime,17,Yes,02-05-2020 20:00
69,06-01-2020 09:00,01-03-2020 20:00,04-01-2020 02:24,Hyderabad,469,PUBLIC INTOXICATION,59,F,Explosives,Other Crime,8,Yes,17-01-2020 09:00
70,06-01-2020 12:00,01-03-2020 21:00,04-01-2020 17:23,Visakhapatnam,292,FIREARM OFFENSE,31,F,Firearm,Fire Accident,1,No,
71,06-01-2020 20:00,01-03-2020 22:00,04-01-2020 00:50,Kolkata,512,FIREARM OFFENSE,58,F,Poison,Fire Accident,6,No,
72,05-01-2020 18:00,01-03-2020 23:00,04-01-2020 11:34,Nagpur,244,ARSON,53,F,Knife,Fire Accident,1,Yes,23-03-2020 18:00
73,05-01-2020 21:00,01-04-2020 00:00,04-01-2020 07:58,Lucknow,269,BURGLARY,35,F,Blunt Object,Other Crime,2,No,
74,06-01-2020 05:00,01-04-2020 01:00,04-01-2020 03:01,Chennai,524,ARSON,36,M,Firearm,Fire Accident,5,Yes,20-01-2020 05:00
75,05-01-2020 02:00,01-04-2020 02:00,05-01-2020 01:45,Ahmedabad,404,CYBERCRIME,70,F,Knife,Other Crime,18,No,
76,06-01-2020 00:00,01-04-2020 03:00,04-01-2020 20:57,Delhi,191,VANDALISM,52,M,Explosives,Other Crime,7,Yes,26-01-2020 00:00
77,04-01-2020 22:00,01-04-2020 04:00,04-01-2020 14:30,Mumbai,369,KIDNAPPING,25,F,Explosives,Other Crime,14,No,
78,05-01-2020 21:00,01-04-2020 05:00,04-01-2020 17:02,Indore,517,IDENTITY THEFT,58,F,Knife,Violent Crime,10,Yes,29-03-2020 21:00
79,05-01-2020 20:00,01-04-2020 06:00,05-01-2020 03:40,Mumbai,229,ROBBERY,39,F,Poison,Violent Crime,4,No,
80,07-01-2020 03:00,01-04-2020 07:00,04-01-2020 23:54,Visakhapatnam,154,VEHICLE - STOLEN,54,F,None,Violent Crime,15,Yes,15-01-2020 03:00
81,05-01-2020 03:00,01-04-2020 08:00,04-01-2020 23:33,Delhi,197,ASSAULT,61,F,Knife,Violent Crime,10,Yes,04-03-2020 03:00
82,06-01-2020 05:00,01-04-2020 09:00,04-01-2020 15:37,Jaipur,421,FRAUD,16,F,Explosives,Other Crime,17,No,
83,06-01-2020 12:00,01-04-2020 10:00,05-01-2020 09:17,Mumbai,305,ROBBERY,25,F,Firearm,Violent Crime,14,Yes,21-03-2020 12:00
84,04-01-2020 19:00,01-04-2020 11:00,05-01-2020 06:13,Kolkata,150,TRAFFIC VIOLATION,72,F,Blunt Object,Traffic Fatality,9,Yes,20-01-2020 19:00
85,05-01-2020 18:00,01-04-2020 12:00,04-01-2020 12:40,Lucknow,542,PUBLIC INTOXICATION,48,M,Firearm,Other Crime,3,No,
86,06-01-2020 17:00,01-04-2020 13:00,05-01-2020 06:42,Mumbai,438,VANDALISM,22,M,Other,Other Crime,5,Yes,11-03-2020 17:00
87,07-01-2020 06:00,01-04-2020 14:00,04-01-2020 16:00,Lucknow,498,PUBLIC INTOXICATION,30,F,Firearm,Other Crime,10,Yes,18-01-2020 06:00
88,07-01-2020 03:00,01-04-2020 15:00,04-01-2020 22:04,Rajkot,345,ROBBERY,11,F,Firearm,Violent Crime,1,No,
89,06-01-2020 22:00,01-04-2020 16:00,04-01-2020 21:21,Mumbai,108,HOMICIDE,16,F,Knife,Other Crime,6,No,
90,06-01-2020 18:00,01-04-2020 17:00,05-01-2020 06:38,Hyderabad,219,VEHICLE - STOLEN,73,F,Blunt Object,Violent Crime,12,No,
91,05-01-2020 04:00,01-04-2020 18:00,05-01-2020 17:15,Kolkata,219,BURGLARY,72,F,Poison,Other Crime,9,No,
92,04-01-2020 20:00,01-04-2020 19:00,05-01-2020 09:21,Jaipur,510,CYBERCRIME,60,F,None,Other Crime,7,No,
93,05-01-2020 16:00,01-04-2020 20:00,05-01-2020 07:36,Hyderabad,597,FRAUD,53,M,None,Other Crime,13,Yes,01-04-2020 16:00
94,06-01-2020 21:00,01-04-2020 21:00,05-01-2020 08:12,Mumbai,272,SEXUAL ASSAULT,42,F,Firearm,Violent Crime,3,No,
95,06-01-2020 08:00,01-04-2020 22:00,04-01-2020 22:16,Vasai,413,PUBLIC INTOXICATION,10,M,Firearm,Other Crime,11,No,
96,06-01-2020 08:00,01-04-2020 23:00,05-01-2020 14:10,Hyderabad,355,DRUG OFFENSE,51,F,Blunt Object,Other Crime,7,No,
97,06-01-2020 02:00,01-05-2020 00:00,05-01-2020 15:36,Nagpur,523,IDENTITY THEFT,26,F,Explosives,Violent Crime,5,Yes,12-02-2020 02:00
98,06-01-2020 17:00,01-05-2020 01:00,05-01-2020 02:56,Kolkata,486,SEXUAL ASSAULT,71,M,Blunt Object,Violent Crime,6,No,
99,06-01-2020 23:00,01-05-2020 02:00,05-01-2020 14:38,Hyderabad,292,IDENTITY THEFT,74,F,Explosives,Violent Crime,15,Yes,23-01-2020 23:00
100,06-01-2020 20:00,01-05-2020 03:00,05-01-2020 06:41,Hyderabad,455,DRUG OFFENSE,13,F,Other,Other Crime,13,Yes,22-01-2020 20:00
101,06-01-2020 23:00,01-05-2020 04:00,05-01-2020 14:02,Ahmedabad,515,PUBLIC INTOXICATION,50,F,Knife,Other Crime,1,Yes,14-01-2020 23:00
102,05-01-2020 16:00,01-05-2020 05:00,05-01-2020 22:34,Mumbai,566,EXTORTION,69,F,Explosives,Other Crime,18,No,
103,07-01-2020 00:00,01-05-2020 06:00,05-01-2020 17:43,Kanpur,419,ASSAULT,34,F,Other,Violent Crime,6,No,
104,07-01-2020 16:00,01-05-2020 07:00,05-01-2020 14:13,Mumbai,250,VEHICLE - STOLEN,38,F,Poison,Violent Crime,14,Yes,19-02-2020 16:00
105,06-01-2020 23:00,01-05-2020 08:00,05-01-2020 19:30,Lucknow,597,FRAUD,44,F,Blunt Object,Other Crime,16,No,
106,06-01-2020 00:00,01-05-2020 09:00,05-01-2020 10:05,Hyderabad,583,VEHICLE - STOLEN,69,F,None,Violent Crime,12,Yes,22-02-2020 00:00
107,05-01-2020 11:00,01-05-2020 10:00,05-01-2020 17:21,Lucknow,342,DOMESTIC VIOLENCE,12,F,Blunt Object,Violent Crime,1,No,
108,07-01-2020 12:00,01-05-2020 11:00,06-01-2020 09:35,Bangalore,417,ARSON,21,F,Poison,Fire Accident,3,Yes,09-02-2020 12:00
109,07-01-2020 20:00,01-05-2020 12:00,06-01-2020 00:07,Chennai,169,PUBLIC INTOXICATION,55,F,Blunt Object,Other Crime,8,No,
110,05-01-2020 17:00,01-05-2020 13:00,05-01-2020 23:32,Delhi,464,ARSON,15,F,Other,Fire Accident,9,No,
111,07-01-2020 04:00,01-05-2020 14:00,05-01-2020 23:24,Visakhapatnam,500,ILLEGAL POSSESSION,58,F,Explosives,Other Crime,5,Yes,16-02-2020 04:00
112,08-01-2020 05:00,01-05-2020 15:00,06-01-2020 07:02,Delhi,183,COUNTERFEITING,37,F,None,Other Crime,6,No,
113,07-01-2020 09:00,01-05-2020 16:00,06-01-2020 14:55,Bangalore,270,HOMICIDE,49,F,Knife,Other Crime,7,Yes,08-11-2021 09:00
114,06-01-2020 15:00,01-05-2020 17:00,06-01-2020 06:42,Surat,259,EXTORTION,30,M,Poison,Other Crime,5,No,
115,07-01-2020 13:00,01-05-2020 18:00,06-01-2020 08:02,Pune,184,FIREARM OFFENSE,50,F,Blunt Object,Fire Accident,15,Yes,03-02-2020 13:00
116,05-01-2020 20:00,01-05-2020 19:00,06-01-2020 06:26,Mumbai,353,BURGLARY,64,F,Knife,Other Crime,10,No,
117,07-01-2020 04:00,01-05-2020 20:00,06-01-2020 10:15,Lucknow,235,VANDALISM,43,M,Poison,Other Crime,14,Yes,13-03-2020 04:00
118,06-01-2020 20:00,01-05-2020 21:00,06-01-2020 02:16,Delhi,287,DRUG OFFENSE,32,M,Explosives,Other Crime,13,Yes,30-03-2020 20:00
119,07-01-2020 19:00,01-05-2020 22:00,05-01-2020 23:48,Mumbai,257,ILLEGAL POSSESSION,14,M,Poison,Other Crime,3,Yes,27-02-2020 19:00
120,07-01-2020 02:00,01-05-2020 23:00,06-01-2020 07:04,Pune,537,TRAFFIC VIOLATION,70,M,None,Traffic Fatality,3,Yes,27-01-2020 02:00
121,07-01-2020 14:00,01-06-2020 00:00,06-01-2020 12:16,Ahmedabad,277,VEHICLE - STOLEN,78,F,Firearm,Violent Crime,10,Yes,22-01-2020 14:00
122,08-01-2020 19:00,01-06-2020 01:00,06-01-2020 22:59,Delhi,321,KIDNAPPING,22,F,Other,Other Crime,19,Yes,06-04-2020 19:00
123,06-01-2020 04:00,01-06-2020 02:00,07-01-2020 00:00,Bhopal,432,VANDALISM,60,F,None,Other Crime,4,No,
124,08-01-2020 23:00,01-06-2020 03:00,06-01-2020 06:56,Ludhiana,129,SEXUAL ASSAULT,44,F,Blunt Object,Violent Crime,2,No,
125,09-01-2020 00:00,01-06-2020 04:00,06-01-2020 19:19,Pune,347,FRAUD,30,M,Knife,Other Crime,14,No,
126,09-01-2020 02:00,01-06-2020 05:00,06-01-2020 05:15,Pune,127,ASSAULT,62,F,None,Violent Crime,10,No,
127,07-01-2020 07:00,01-06-2020 06:00,07-01-2020 00:44,Surat,117,FIREARM OFFENSE,42,F,None,Fire Accident,8,No,
128,07-01-2020 04:00,01-06-2020 07:00,07-01-2020 02:17,Ghaziabad,339,IDENTITY THEFT,73,F,Knife,Violent Crime,2,Yes,01-04-2020 04:00
129,09-01-2020 04:00,01-06-2020 08:00,06-01-2020 12:39,Kanpur,374,SHOPLIFTING,25,M,Explosives,Other Crime,15,No,
130,08-01-2020 14:00,01-06-2020 09:00,06-01-2020 14:55,Ghaziabad,111,ROBBERY,33,M,Other,Violent Crime,3,Yes,20-05-2020 14:00
131,08-01-2020 13:00,01-06-2020 10:00,06-01-2020 19:26,Agra,331,ARSON,13,F,Poison,Fire Accident,19,No,
132,07-01-2020 04:00,01-06-2020 11:00,07-01-2020 06:55,Lucknow,295,IDENTITY THEFT,39,F,Knife,Violent Crime,8,No,
133,06-01-2020 23:00,01-06-2020 12:00,06-01-2020 19:17,Bangalore,309,HOMICIDE,18,M,None,Other Crime,2,No,
134,06-01-2020 22:00,01-06-2020 13:00,07-01-2020 00:56,Lucknow,465,ILLEGAL POSSESSION,75,F,Knife,Other Crime,8,No,
135,06-01-2020 18:00,01-06-2020 14:00,07-01-2020 07:26,Delhi,406,VANDALISM,50,F,Other,Other Crime,15,No,
136,09-01-2020 07:00,01-06-2020 15:00,07-01-2020 02:16,Delhi,278,FRAUD,71,F,Other,Other Crime,7,No,
137,07-01-2020 23:00,01-06-2020 16:00,07-01-2020 01:01,Ahmedabad,569,PUBLIC INTOXICATION,38,F,Explosives,Other Crime,12,Yes,23-01-2020 23:00
138,08-01-2020 12:00,01-06-2020 17:00,06-01-2020 20:11,Mumbai,445,ASSAULT,12,M,Blunt Object,Violent Crime,6,No,
139,08-01-2020 17:00,01-06-2020 18:00,07-01-2020 07:11,Kanpur,465,KIDNAPPING,57,F,Other,Other Crime,2,No,
140,08-01-2020 16:00,01-06-2020 19:00,07-01-2020 01:17,Jaipur,404,CYBERCRIME,47,F,Firearm,Other Crime,16,Yes,06-02-2020 16:00
141,08-01-2020 13:00,01-06-2020 20:00,07-01-2020 14:13,Delhi,270,DOMESTIC VIOLENCE,73,F,Other,Violent Crime,14,No,
142,07-01-2020 23:00,01-06-2020 21:00,07-01-2020 06:34,Mumbai,113,FIREARM OFFENSE,41,F,Blunt Object,Fire Accident,4,Yes,27-03-2020 23:00
143,07-01-2020 09:00,01-06-2020 22:00,07-01-2020 12:37,Mumbai,278,ILLEGAL POSSESSION,45,F,None,Other Crime,2,No,
144,07-01-2020 06:00,01-06-2020 23:00,07-01-2020 16:49,Varanasi,487,ASSAULT,79,F,Firearm,Violent Crime,14,Yes,04-02-2020 06:00
145,08-01-2020 20:00,01-07-2020 00:00,07-01-2020 03:38,Ludhiana,172,IDENTITY THEFT,17,M,Firearm,Violent Crime,10,No,
146,08-01-2020 01:00,01-07-2020 01:00,07-01-2020 16:44,Kolkata,165,PUBLIC INTOXICATION,15,F,Knife,Other Crime,16,No,
147,07-01-2020 16:00,01-07-2020 02:00,07-01-2020 18:49,Meerut,514,CYBERCRIME,44,F,Other,Other Crime,6,Yes,26-01-2020 16:00
148,07-01-2020 16:00,01-07-2020 03:00,07-01-2020 22:27,Bangalore,262,COUNTERFEITING,28,F,Knife,Other Crime,8,No,
149,07-01-2020 06:00,01-07-2020 04:00,08-01-2020 01:09,Agra,558,IDENTITY THEFT,41,F,None,Violent Crime,5,Yes,27-02-2020 06:00
150,07-01-2020 08:00,01-07-2020 05:00,07-01-2020 11:19,Patna,157,SHOPLIFTING,46,F,Knife,Other Crime,1,Yes,03-04-2020 08:00
151,08-01-2020 08:00,01-07-2020 06:00,07-01-2020 13:59,Bhopal,241,DRUG OFFENSE,35,F,Blunt Object,Other Crime,3,Yes,27-03-2020 08:00
152,07-01-2020 08:00,01-07-2020 07:00,07-01-2020 16:17,Bangalore,311,ILLEGAL POSSESSION,67,M,None,Other Crime,16,No,
153,08-01-2020 01:00,01-07-2020 08:00,07-01-2020 17:21,Delhi,248,IDENTITY THEFT,23,F,Knife,Violent Crime,16,No,
154,09-01-2020 16:00,01-07-2020 09:00,07-01-2020 19:49,Chennai,523,KIDNAPPING,39,F,Other,Other Crime,11,No,
155,10-01-2020 06:00,01-07-2020 10:00,07-01-2020 19:37,Bangalore,238,DOMESTIC VIOLENCE,48,F,Blunt Object,Violent Crime,5,No,
156,10-01-2020 05:00,01-07-2020 11:00,07-01-2020 12:05,Pune,109,DOMESTIC VIOLENCE,71,F,Blunt Object,Violent Crime,14,Yes,02-04-2020 05:00
157,07-01-2020 13:00,01-07-2020 12:00,07-01-2020 13:48,Hyderabad,448,COUNTERFEITING,32,F,Other,Other Crime,8,No,
158,08-01-2020 16:00,01-07-2020 13:00,08-01-2020 03:32,Ahmedabad,588,HOMICIDE,18,F,Firearm,Other Crime,13,No,
159,09-01-2020 18:00,01-07-2020 14:00,08-01-2020 06:49,Delhi,236,VEHICLE - STOLEN,38,F,Poison,Violent Crime,15,Yes,08-02-2020 18:00
160,07-01-2020 19:00,01-07-2020 15:00,08-01-2020 14:26,Kolkata,509,ASSAULT,27,F,Blunt Object,Violent Crime,17,Yes,22-03-2020 19:00
161,09-01-2020 03:00,01-07-2020 16:00,08-01-2020 09:21,Meerut,321,COUNTERFEITING,30,F,Knife,Other Crime,13,Yes,19-02-2020 03:00
162,07-01-2020 21:00,01-07-2020 17:00,07-01-2020 17:22,Surat,420,CYBERCRIME,17,F,None,Other Crime,12,No,
163,09-01-2020 16:00,01-07-2020 18:00,08-01-2020 09:50,Pune,589,SHOPLIFTING,39,F,Knife,Other Crime,15,No,
164,08-01-2020 20:00,01-07-2020 19:00,08-01-2020 02:04,Pune,492,ARSON,66,F,Firearm,Fire Accident,5,No,
165,10-01-2020 00:00,01-07-2020 20:00,08-01-2020 06:07,Ghaziabad,312,SEXUAL ASSAULT,11,F,Firearm,Violent Crime,9,Yes,23-12-2020 00:00
166,10-01-2020 14:00,01-07-2020 21:00,08-01-2020 00:42,Ahmedabad,234,VANDALISM,54,M,Firearm,Other Crime,19,Yes,10-03-2020 14:00
167,08-01-2020 16:00,01-07-2020 22:00,08-01-2020 05:25,Delhi,470,VANDALISM,79,M,Explosives,Other Crime,13,Yes,27-01-2020 16:00
168,08-01-2020 22:00,01-07-2020 23:00,08-01-2020 02:01,Delhi,518,FRAUD,12,F,Firearm,Other Crime,3,Yes,04-03-2020 22:00
169,08-01-2020 16:00,01-08-2020 00:00,08-01-2020 00:14,Lucknow,295,DRUG OFFENSE,19,F,Blunt Object,Other Crime,16,No,
170,10-01-2020 07:00,01-08-2020 01:00,08-01-2020 05:22,Kalyan,342,TRAFFIC VIOLATION,21,F,Knife,Traffic Fatality,8,Yes,17-01-2020 07:00
171,09-01-2020 11:00,01-08-2020 02:00,08-01-2020 18:43,Agra,352,COUNTERFEITING,24,M,None,Other Crime,14,Yes,11-03-2020 11:00
172,08-01-2020 15:00,01-08-2020 03:00,09-01-2020 01:57,Jaipur,305,TRAFFIC VIOLATION,58,M,Poison,Traffic Fatality,4,No,
173,11-01-2020 03:00,01-08-2020 04:00,08-01-2020 13:20,Hyderabad,245,SEXUAL ASSAULT,51,F,Blunt Object,Violent Crime,17,Yes,29-10-2021 03:00
174,09-01-2020 20:00,01-08-2020 05:00,09-01-2020 01:34,Indore,438,DRUG OFFENSE,40,F,None,Other Crime,7,No,
175,09-01-2020 00:00,01-08-2020 06:00,08-01-2020 10:27,Surat,144,ROBBERY,64,M,Blunt Object,Violent Crime,13,Yes,15-06-2020 00:00
176,09-01-2020 23:00,01-08-2020 07:00,08-01-2020 22:06,Lucknow,292,BURGLARY,66,F,None,Other Crime,14,Yes,28-06-2020 23:00
177,08-01-2020 14:00,01-08-2020 08:00,09-01-2020 02:25,Chennai,134,FIREARM OFFENSE,28,F,Firearm,Fire Accident,8,Yes,21-03-2020 14:00
